player_name,Unnamed: 0,age,player_height,player_weight,gp,pts_media_carrera,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,pts_22_23
Matt Ryan,12135.0,25.0,200.66,97.52228,1.0,3.0,0.0,0.0,25.0,0.0,0.0,0.357,0.3,0.0,3.6
Matthew Dellavedova,9673.25,26.5,192.405,90.378206,55.875,5.0875,1.75,3.75,-0.03750000000000009,0.021249999999999963,0.076875,0.142375,0.48275,0.27849999999999997,1.5
Max Strus,11630.333333333334,25.0,195.58,97.52227999999998,36.333333333333336,6.3999999999999995,1.5333333333333332,0.6666666666666666,35.733333333333334,0.06466666666666664,0.06166666666666663,0.17133333333333334,0.646,0.05333333333333332,11.5
Maxi Kleber,11020.2,28.0,209.296,107.047712,65.2,7.08,4.84,1.1,2.2,0.0496,0.15099999999999997,0.127,0.5806,0.0664,5.9
McKinley Wright IV,12133.0,23.0,180.34,87.089664,5.0,1.0,0.0,0.6,-25.8,0.0,0.0,0.0819999999999999,0.833,0.231,4.2
Meyers Leonard,9431.222222222223,25.0,215.33555555555554,114.15398666666667,49.666666666666664,5.155555555555555,3.6222222222222222,0.8444444444444444,-3.3666666666666667,0.04655555555555555,0.22266666666666668,0.1502222222222222,0.5996666666666667,0.08766666666666667,4.8
Mfiondu Kabengele,11381.0,22.5,205.74,113.398,25.5,2.95,1.2,0.30000000000000004,-6.699999999999999,0.028,0.155,0.20500000000000002,0.55,0.07450000000000001,1.5
Micah Potter,12163.0,24.0,208.28,112.490816,3.0,4.0,3.0,0.0,-56.4,0.095,0.125,0.148,0.505,0.0,3.4
Michael Carter-Williams,9672.875,25.5,197.485,85.898985,48.875,9.35,4.125,4.0,-2.6625,0.039249999999999986,0.14362499999999997,0.207,0.4705,0.254875,4.3
Michael Porter Jr.,11632.666666666666,23.0,208.28,98.883056,41.666666666666664,12.733333333333334,6.2,1.2666666666666666,6.266666666666667,0.052,0.19166666666666662,0.20566666666666666,0.5653333333333334,0.07033333333333333,17.4
Mikal Bridges,11364.25,23.5,198.755,94.91412600000001,77.25,11.275,3.925,2.075,3.325,0.02925,0.095,0.135,0.6175,0.08799999999999998,20.1
Mike Conley,8516.466666666667,27.0,185.42,81.19296800000001,63.86666666666667,14.973333333333333,2.96,5.526666666666667,2.453333333333333,0.015999999999999993,0.08773333333333332,0.2193333333333333,0.5467333333333334,0.27899999999999997,11.9
Mike Muscala,9941.0,26.0,209.97333333333333,108.30768977777778,48.0,6.144444444444444,3.1333333333333333,0.8222222222222223,-2.6222222222222222,0.058999999999999976,0.15833333333333333,0.16699999999999998,0.5798888888888888,0.0831111111111111,6.1
Miles McBride,12140.0,21.0,185.42,88.45044,40.0,2.2,1.1,1.0,13.0,0.011,0.0969999999999999,0.1369999999999999,0.3929999999999999,0.159,3.5
Mitchell Robinson,11359.25,22.5,213.995,108.86208,57.5,8.45,7.525,0.55,-2.9,0.12825,0.163,0.118,0.6955,0.035750000000000004,7.4
